ph,temperature,tds,Potability,timestamp
6.11,18.5,90.36,0,2026-05-01T11:37:25.819726+00:00
6.11,18.31,91.11,0,2026-05-01T11:37:32.203246+00:00
6.11,18.5,91.79,0,2026-05-01T11:37:38.587474+00:00
6.08,18.5,105.29,0,2026-05-01T11:38:13.705015+00:00
6.06,19.19,99.82,0,2026-05-01T11:38:39.266295+00:00
7.83,19.56,114.08,1,2026-05-01T11:41:29.665775+00:00
7.92,19.5,109.45,1,2026-05-01T11:41:55.242118+00:00
7.96,19.81,113.1,1,2026-05-01T11:42:24.015686+00:00
7.95,20.44,107.86,1,2026-05-01T11:44:22.298086+00:00
8.04,21.37,101.4,1,2026-05-01T11:46:55.712082+00:00
8.06,21.5,101.13,1,2026-05-01T11:47:08.500518+00:00
8.02,22.5,100.61,1,2026-05-01T11:50:07.409279+00:00
8.08,22.56,100.48,1,2026-05-01T11:50:20.187634+00:00
8.04,22.62,100.03,1,2026-05-01T11:50:36.167754+00:00
8.01,23.56,133.93,1,2026-05-01T11:53:09.590212+00:00
7.99,23.62,119.72,1,2026-05-01T11:53:15.984213+00:00
8.01,24.25,99.51,1,2026-05-01T11:54:48.663170+00:00
7.97,24.56,103.18,1,2026-05-01T11:55:49.372005+00:00
7.97,25.12,101.11,1,2026-05-01T11:57:31.662444+00:00
7.99,25.56,98.74,1,2026-05-01T11:59:20.271330+00:00
7.99,25.69,96.69,1,2026-05-01T11:59:42.630172+00:00
7.97,25.69,96.99,1,2026-05-01T11:59:49.014289+00:00
8.03,25.94,101.88,1,2026-05-01T12:00:46.507059+00:00
8.0,26.37,123.73,1,2026-05-01T12:02:35.176443+00:00
8.02,26.37,129.18,1,2026-05-01T12:02:41.570425+00:00
7.97,26.44,126.73,1,2026-05-01T12:03:00.752632+00:00
8.01,26.69,127.83,1,2026-05-01T12:03:45.501236+00:00
8.0,26.87,131.62,1,2026-05-01T12:04:52.638875+00:00
8.01,27.0,97.18,1,2026-05-01T12:05:24.583974+00:00
8.03,27.25,94.38,1,2026-05-01T12:06:47.616988+00:00
8.03,27.44,93.75,1,2026-05-01T12:07:41.881308+00:00
8.02,27.62,113.17,1,2026-05-01T12:08:39.343374+00:00
8.02,27.69,94.75,1,2026-05-01T12:09:24.076813+00:00
8.03,27.94,95.46,1,2026-05-01T12:10:43.877330+00:00
8.02,28.19,113.37,1,2026-05-01T12:11:54.117402+00:00
8.04,28.37,131.76,1,2026-05-01T12:13:07.564125+00:00
8.01,28.6,92.99,1,2026-05-01T12:15:01.395210+00:00
8.04,28.94,99.3,1,2026-05-01T12:16:38.398139+00:00
8.06,29.12,132.9,1,2026-05-01T12:17:39.117541+00:00
